id;NOME_PRODUTO;CODE;DESCRIPTION
0;SMARTPHONE LG K9 TV LM-X210BMW PRETO         ;025172;" O LG K9 foi desenvolvido para você que tem uma vida corrida, pois com ele você pode acompanhar seus filmes, sé;ries, novelas e futebol em qualquer lugar, graças a sua TV Digital, pra você assistir a qualquer hora e lugar em uma tela ampla de 5 polegadas.     Seu design proporciona sofisticação e modernidade em um só, com conforto e segurança devido as suas bordas suavemente arredondadas e traseira antiderrapante, que proporcionam uma experiência mais confortável e tátil. Com a câmera frontal de 5MP captura selfies nítidas e cheias de vida, enquanto que sua câmera traseira pode capturar imagens inesquecíveis com alta qualidade. E para você não se preocupar com lentidão e falta de carga, ele vem com um processador Quad core somado a memória RAM de 2GB e uma bateria de 2410mAh, tudo isso para você aproveitar seus jogos, assistir vídeos e acessar as suas redes sociais favoritas.', '', '', '"
1;TABLET NB729 MINI MS40G BRANCO               ;025367;"Mais leve, rápido e seguro do que nunca, para que você possa curtir ainda mais as suas fotos, vídeos, músicas, redes sociais e tudo mais que for importante para você.<br />\\nSeu mundo conectado à mais pura experiência Android alinhado ao design compacto e moderno do MS40G.  Melhor desempenho: Aplicativos reinventados para fazer o que você gosta de forma mais rápida e prática.  Controle do consumo de dados: Gerenciamento integrado para não ficar sem pacote antes do final do mês.  Seguro: O Google Play Protect é; o sistema de segurança sempre ativo, para manter seu dispositivo limpo e seus dados seguros."
2;"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ";025354;"A Samsung LED Smart TV J4290 conta com os recursos essenciais para uma Smart TV. <br />\\nNavegue pela Internet , assista os vídeos no Youtube , Netflix e explore uma variedade de aplicativos disponíveis, ou se preferir, conecte um dispositivo USB e acesse seus arquivos, Tudo isso, em uma tela de alta resolução HD, que melhora consideravelmente a qualidade de qualquer imagem e revela detalhes antes ocultos."
3;SMARTPHONE MOTOROLA MOTO G8 PLUS 64GB CEREJA ;026584;"O Moto G8 Plus da Motorola é; perfeito para você ampliar a sua diversão, sua tela FullHD+ de 6,3&quot; é; ideal para quem deseja ter uma imersão total em filmes e jogos. Registre momentos mágicos e sem perder nenhum detalhe com a câmera traseira tripla de 48MP + 5MP + 16MP, alé;m de contar com foco a laser. Faça selfies com a galera usando a câmera frontal de 25MP, inclusive você pode usar alguns recursos como o cor em destaque e o modo retrato. Para quem é; fã de games e vídeos sabe o quanto é; chato quando um Smartphone começa a ficar lento né;! Esse produto foi projetado para dizer adeus a esses atrasos, já que o processador é; Octa-Core e oferece uma performance incrível, além de contar com 4GB de memória RAM para manter a performance sem lentidão. Tenha um aparelho que é ideal para salvar fotos e vídeos sem se preocupar com a questão de espaço, pois conta com 64GB de armazenamento interno. Fique sempre conectado nas suas redes sociais com a tecnologia 4G em um aparelho Dual Chip. Não se preocupe com tomadas, já que este produto oferece uma bateria de 4000mAh e carregador Turbo Power. E para se sentir mais seguro, este modelo conta com sensor de impressão digital. Ele está disponível na cor Cereja, garantindo estilo e sofisticação em suas mãos."
4;DVD D-15 KARAOKE MONDIAL                     ;021647;"Com o DVD D-15, da Mondial, a diversão está garantida! Além de reproduzir seus filmes, vídeos e imagens nos formatos DVD, DVD+R/RW, CD, VCD, DVCD, WMA, MP3 e JPG, ele conta com função Karaokê para animar qualquer festa. Cante e meça sua habilidade nos vocais com a função Score, que dá nota para os participantes da brincadeira!"
5;PEN DRIVE PD590 64GB TWIST PRETO             ;025246;"Armazene suas fotos, músicas, planilhas, entre outros documentos com mais qualidade e segurança. é a Multilaser pensando em sua comodidade, proporciona praticidade em seu dia a dia com esse Pen Drive Twist 64GB! é só conectar em seu PC ou Notebook e pronto, já transfere tudo com mais agilidade e estilo, aproveite!"
6;"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ";025996;"Você irá se apaixonar pela tecnologia e inovação da TCL 32S6500. Uma Smart TV com tela LED WideScreen de 32&quot;, resolução HD e Inteligência Artificial que proporciona uma experiência única no seu modo de assistir á TV. Ela possui ainda sistema operacional Android, Wi-Fi, conversor digital integrado, 2 entradas HDMI, 1 USB e HDR onde oferece um padrão superior de contraste e brilho, exibindo muito melhor os detalhes da imagem, mais próxima da realidade, e cores mais vivas. Você controla todos os dispositivos facilmente utilizando a sua voz através do controle remoto e explora todo o conteúdo com praticidade. Facilite o seu dia a dia e proporcione uma vida inteligente em um ambiente conectado."
9;SMARTPHONE SAMSUNG GAL J6 64GB DB VIOLETA    ;025250;" O Galaxy J6 64GB traz consigo uma tela infinita de 5,6 polegadas com tecnologia Super Amoled  proporcionando imagens com resolução FULL HD, para você assistir suas programações através da TV digital, seu vídeos e séries favoritas em alta qualidade de imagem. Para você que gosta de tirar fotos e filmar os seus melhores momentos, as câmeras, frontal de 8 MP e de 13 MP com flash LED, te garantem fotos e vídeos em alta qualidade e nitidez. E para que você tenha espaço suficiente para armazenar tudo isso, o J6 64GB vem com memória de armazenamento de 64GB expansível até 256GB via cartão de memória e somado a isso ainda tem 15GB disponível no Samsung cloud, proporcionando espaço à vontade para você armazenar tudo o que quiser. ', '', '', '"
10;SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      ;026574;"O Conjunto de tecnologias do Galaxy A30s te oferecerá  uma experiência  totalmente nova. Com tela de 6,4 polegadas preenche sua tela com conteúdos de ponta a ponta, e ainda uma tela Super AMOLED HD+ com cores mais vivas e reais, será como imergir em sua tela. Design elegante e atraente que facilita a navegação pela tela. O padrão holográfico se destaca com um acabamento dinâmico nas cores preta, branca e violeta.', 'Esteja preparado para os momentos da vida com a câmera tripla do Galaxy A30s. Capture detalhes diários com a câmera principal de 25MP ou paisagens majestosas com a câmera Ultra Wide de 8MP e 123\xcb\x9a. Desfoque o fundo para focar no que é importante com a câmera de profundidade de 5Mp, e mais, com sua câmera frontal de 16 Mp, esteja preparado para tirar Selfs de cair o queixo, utilizando o Foco Dinâmico, que ajusta o desfoque suavemente, para que seu rosto seja o centro das atenções.', 'E não é só isso, com a bateria de 4.000mAh que está pronta para durar, você pode aproveitar ao máximo cada momento. E você não precisa se preocupar com o carregamento, pois o smartphone oferece o recurso de carregamento rápido de 15W para você voltar rapidamente a fazer o que precisa. E, para você que precisa de segurança, com autenticação biométrica de alta tecnologia. O leitor de impressão digital na tela reconhece sua impressão digital única, para que só você possa desbloquear facilmente com um único toque na tela."
11;SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750;021653;"O Suporte da Brasforma é o acessório ideal para você que deseja espaço e organização na sua casa. Suporta até 40kg e você pode instalar com praticidade sua TV na parede. Indicado para aparelhos de 10 a 71 polegadas."
